code_insee,commune,loyer_m2_maison,loyer_m2_appartement,nb_obs_maison,nb_obs_appartement,source,updated_at
06065,La Gaude,,19,0,162,Loyers (données publiques),2026-03-03T09:22:09.139Z
06069,Grasse,18,16,725,8133,Loyers (données publiques),2026-03-03T09:22:09.139Z
06075,Levens,,15,0,217,Loyers (données publiques),2026-03-03T09:22:09.139Z
06077,Lucéram,,14,0,315,Loyers (données publiques),2026-03-03T09:22:09.139Z
06079,Mandelieu-la-Napoule,23,20,137,3088,Loyers (données publiques),2026-03-03T09:22:09.139Z
06083,Menton,,21,0,3576,Loyers (données publiques),2026-03-03T09:22:09.139Z
06084,Mouans-Sartoux,21,18,181,554,Loyers (données publiques),2026-03-03T09:22:09.139Z
06085,Mougins,22,19,261,1658,Loyers (données publiques),2026-03-03T09:22:09.139Z
06088,Nice,22,20,730,71615,Loyers (données publiques),2026-03-03T09:22:09.139Z
06090,Pégomas,21,18,134,842,Loyers (données publiques),2026-03-03T09:22:09.139Z
06095,Peymeinade,20,17,154,694,Loyers (données publiques),2026-03-03T09:22:09.139Z
06099,Puget-Théniers,,12,0,171,Loyers (données publiques),2026-03-03T09:22:09.139Z
06103,Roquebillière,,13,0,133,Loyers (données publiques),2026-03-03T09:22:09.139Z
06104,Roquebrune-Cap-Martin,,25,0,1898,Loyers (données publiques),2026-03-03T09:22:09.139Z
06105,Roquefort-les-Pins,,21,0,167,Loyers (données publiques),2026-03-03T09:22:09.139Z
06108,La Roquette-sur-Siagne,,18,0,253,Loyers (données publiques),2026-03-03T09:22:09.139Z
06112,Le Rouret,,20,0,182,Loyers (données publiques),2026-03-03T09:22:09.139Z
06114,Saint-André-de-la-Roche,,19,0,1571,Loyers (données publiques),2026-03-03T09:22:09.139Z
06118,Saint-Cézaire-sur-Siagne,,14,0,181,Loyers (données publiques),2026-03-03T09:22:09.139Z
06122,Saint-Jeannet,,19,0,204,Loyers (données publiques),2026-03-03T09:22:09.139Z
06123,Saint-Laurent-du-Var,19,20,176,7297,Loyers (données publiques),2026-03-03T09:22:09.139Z
06126,Saint-Martin-du-Var,,17,0,469,Loyers (données publiques),2026-03-03T09:22:09.139Z
06129,Saint-Sauveur-sur-Tinée,,11,0,108,Loyers (données publiques),2026-03-03T09:22:09.139Z
06130,Saint-Vallier-de-Thiey,,15,0,220,Loyers (données publiques),2026-03-03T09:22:09.139Z
06136,Sospel,,15,0,163,Loyers (données publiques),2026-03-03T09:22:09.139Z
06138,Théoule-sur-Mer,,19,0,123,Loyers (données publiques),2026-03-03T09:22:09.139Z
06147,Tourrette-Levens,,17,0,168,Loyers (données publiques),2026-03-03T09:22:09.139Z
06148,Tourrettes-sur-Loup,,16,0,100,Loyers (données publiques),2026-03-03T09:22:09.139Z
06149,La Trinité,,16,0,590,Loyers (données publiques),2026-03-03T09:22:09.139Z
06150,La Turbie,,27,0,301,Loyers (données publiques),2026-03-03T09:22:09.139Z
06152,Valbonne,23,21,211,703,Loyers (données publiques),2026-03-03T09:22:09.139Z
06155,Vallauris,21,18,217,4950,Loyers (données publiques),2026-03-03T09:22:09.139Z
06157,Vence,21,18,104,2093,Loyers (données publiques),2026-03-03T09:22:09.139Z
06159,Villefranche-sur-Mer,,26,0,333,Loyers (données publiques),2026-03-03T09:22:09.139Z
06161,Villeneuve-Loubet,21,22,221,2684,Loyers (données publiques),2026-03-03T09:22:09.139Z
07007,Alboussière,,9,0,113,Loyers (données publiques),2026-03-03T09:22:09.139Z
07009,Andance,,9,0,239,Loyers (données publiques),2026-03-03T09:22:09.139Z
07010,Annonay,10,9,307,4441,Loyers (données publiques),2026-03-03T09:22:09.139Z
07019,Aubenas,10,10,405,3191,Loyers (données publiques),2026-03-03T09:22:09.139Z
07022,Baix,,10,0,132,Loyers (données publiques),2026-03-03T09:22:09.139Z
07027,Beauchastel,,10,0,103,Loyers (données publiques),2026-03-03T09:22:09.139Z
07041,Boulieu-lès-Annonay,10,10,135,218,Loyers (données publiques),2026-03-03T09:22:09.139Z
07042,Bourg-Saint-Andéol,10,10,178,1139,Loyers (données publiques),2026-03-03T09:22:09.139Z
07055,Charmes-sur-Rhône,10,11,122,129,Loyers (données publiques),2026-03-03T09:22:09.139Z
07064,Le Cheylard,,8,0,569,Loyers (données publiques),2026-03-03T09:22:09.139Z
07066,Chomérac,10,8,116,307,Loyers (données publiques),2026-03-03T09:22:09.139Z
07070,Cornas,10,,108,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
07076,Cruas,12,9,104,170,Loyers (données publiques),2026-03-03T09:22:09.139Z
07078,Davézieux,12,13,127,187,Loyers (données publiques),2026-03-03T09:22:09.139Z
07089,Félines,10,,166,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
07090,Flaviac,,8,0,219,Loyers (données publiques),2026-03-03T09:22:09.139Z
07102,Guilherand-Granges,12,12,161,1966,Loyers (données publiques),2026-03-03T09:22:09.139Z
07110,Joyeuse,,10,0,296,Loyers (données publiques),2026-03-03T09:22:09.139Z
07116,Labégude,,9,0,255,Loyers (données publiques),2026-03-03T09:22:09.139Z
07127,Lalevade-d'Ardèche,,9,0,142,Loyers (données publiques),2026-03-03T09:22:09.139Z
07129,Lamastre,,8,0,301,Loyers (données publiques),2026-03-03T09:22:09.139Z
07132,Largentière,,9,0,326,Loyers (données publiques),2026-03-03T09:22:09.139Z
07152,Mauves,,9,0,120,Loyers (données publiques),2026-03-03T09:22:09.139Z
07157,Meysse,,9,0,114,Loyers (données publiques),2026-03-03T09:22:09.139Z
07161,Montpezat-sous-Bauzon,,9,0,106,Loyers (données publiques),2026-03-03T09:22:09.139Z
07181,Le Pouzin,9,10,104,431,Loyers (données publiques),2026-03-03T09:22:09.139Z
07186,Privas,10,9,169,1988,Loyers (données publiques),2026-03-03T09:22:09.139Z
07188,Quintenas,10,,117,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
07191,Rochemaure,,9,0,183,Loyers (données publiques),2026-03-03T09:22:09.139Z
07197,Roiffieux,11,,115,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
07201,Ruoms,10,11,110,339,Loyers (données publiques),2026-03-03T09:22:09.139Z
07204,Saint-Agrève,,9,0,220,Loyers (données publiques),2026-03-03T09:22:09.139Z
07231,Saint-Étienne-de-Fontbellon,10,10,106,104,Loyers (données publiques),2026-03-03T09:22:09.139Z
07245,Saint-Jean-de-Muzols,9,,128,0,Loyers (données publiques),2026-03-03T09:22:09.139Z
07259,Saint-Just-d'Ardèche,,10,0,124,Loyers (données publiques),2026-03-03T09:22:09.139Z
07261,Saint-Laurent-du-Pape,,10,0,110,Loyers (données publiques),2026-03-03T09:22:09.139Z
07264,Saint-Marcel-d'Ardèche,10,11,119,171,Loyers (données publiques),2026-03-03T09:22:09.139Z
07281,Saint-Péray,10,12,241,712,Loyers (données publiques),2026-03-03T09:22:09.139Z
07308,Sarras,,9,0,265,Loyers (données publiques),2026-03-03T09:22:09.139Z
07309,Satillieu,,8,0,157,Loyers (données publiques),2026-03-03T09:22:09.139Z
07313,Serrières,,10,0,300,Loyers (données publiques),2026-03-03T09:22:09.139Z
07316,Soyons,,12,0,142,Loyers (données publiques),2026-03-03T09:22:09.139Z
07319,Le Teil,10,10,212,1075,Loyers (données publiques),2026-03-03T09:22:09.139Z
07324,Tournon-sur-Rhône,10,11,246,2418,Loyers (données publiques),2026-03-03T09:22:09.139Z
07325,Ucel,,10,0,102,Loyers (données publiques),2026-03-03T09:22:09.139Z
07330,Vallon-Pont-d'Arc,10,10,135,263,Loyers (données publiques),2026-03-03T09:22:09.139Z
07331,Vals-les-Bains,9,10,101,827,Loyers (données publiques),2026-03-03T09:22:09.139Z
07334,Les Vans,8,11,108,693,Loyers (données publiques),2026-03-03T09:22:09.139Z
07338,Vernoux-en-Vivarais,,9,0,145,Loyers (données publiques),2026-03-03T09:22:09.139Z
07341,Villeneuve-de-Berg,9,9,108,267,Loyers (données publiques),2026-03-03T09:22:09.139Z
07346,Viviers,10,10,132,531,Loyers (données publiques),2026-03-03T09:22:09.139Z
