code_insee,commune,prix_m2_maison,prix_m2_appartement,nb_ventes_maison,nb_ventes_appartement,source,updated_at
"408","408",1680.16,1458.20,210,98,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"316","316",2118.42,2410.94,239,64,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"332","332",2153.85,2349.32,243,59,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"315","315",2037.50,3068.00,261,39,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"563","563",2522.67,2367.54,142,156,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"361","361",1927.93,2548.39,168,129,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"221","221",1994.55,2746.84,265,32,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"502","502",1741.94,2115.38,185,112,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"544","544",2033.33,2487.28,127,170,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"330","330",2240.38,2236.84,235,59,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"517","517",2789.55,3565.20,161,132,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"339","339",2128.66,2155.33,242,50,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"289","289",1905.32,4126.67,256,35,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"287","287",2065.50,4657.38,260,30,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"345","345",1807.23,2481.66,207,82,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"340","340",2074.69,3110.65,258,31,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"293","293",2135.42,3715.34,238,49,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"447","447",2017.05,2622.12,210,76,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"514","514",2941.18,3391.67,167,119,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"366","366",1943.66,2118.44,179,106,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"522","522",3363.22,3720.93,147,137,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"245","245",1792.21,2633.70,257,26,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"490","490",2500.45,3016.13,160,123,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"500","500",2316.62,3000.00,122,160,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"319","319",1939.57,1853.19,216,63,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"246","246",1950.61,2318.84,244,33,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"529","529",4997.75,4883.85,215,60,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"415","415",1933.95,2158.88,210,65,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"557","557",2769.55,3046.88,206,67,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"326","326",2291.04,3596.25,177,96,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"487","487",2154.31,2777.78,198,73,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"424","424",2782.10,2650.00,201,67,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"586","586",4079.99,3862.45,148,120,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"448","448",1711.71,1371.34,207,56,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"380","380",2741.94,4001.85,195,67,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"308","308",2019.23,2901.59,209,50,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"484","484",1792.86,2648.48,224,35,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"348","348",2252.01,2500.00,199,59,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"372","372",2252.31,3571.43,148,109,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"427","427",1671.05,2902.10,165,86,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"371","371",2039.35,4236.92,208,43,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"265","265",1759.40,3465.12,210,39,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"434","434",2228.91,2317.07,178,71,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"464","464",1996.67,3404.22,182,67,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"488","488",2577.49,3474.58,170,77,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"423","423",2197.80,3311.03,129,116,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"491","491",1721.31,3379.12,177,68,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"392","392",1500.00,1306.67,177,67,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"422","422",2000.00,2401.96,157,87,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"375","375",1950.73,2443.33,172,70,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"349","349",2445.65,1666.67,213,29,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"314","314",2114.29,2905.06,181,61,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"363","363",2014.39,2718.28,189,52,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"575","575",2240.38,2218.18,182,59,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"335","335",2112.68,2890.63,194,46,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"526","526",1858.88,2398.51,174,64,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"407","407",2710.78,3009.43,168,66,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"428","428",2178.08,3583.48,153,80,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"390","390",2221.60,2639.78,179,52,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"325","325",2248.33,2613.64,187,43,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"463","463",2006.98,1490.38,167,59,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"354","354",2062.07,4625.00,168,55,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"303","303",1869.16,1906.00,169,54,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"457","457",2175.32,3139.58,189,31,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"343","343",2344.96,3009.24,174,42,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"481","481",2344.12,3666.67,129,87,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"355","355",2092.05,2396.49,171,44,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"356","356",2339.62,2562.66,155,59,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"370","370",1790.21,2683.95,169,44,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"507","507",2202.47,2519.23,154,54,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"342","342",1700.06,1825.40,154,53,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"589","589",3043.48,3119.57,121,86,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
"475","475",2162.18,2976.19,173,33,"DVF (données publiques)","2026-03-02T09:05:12.050Z"
